
使用中連線

  協定   本機位址               外部位址               狀態            PID
  TCP    192.168.2.103:61921    34.107.216.248:195     ESTABLISHED     45492
  TCP    192.168.2.103:62130    193.112.179.225:9400   ESTABLISHED     13956
  TCP    192.168.2.103:62540    108.160.143.219:80     ESTABLISHED     3808
  TCP    192.168.2.103:65323    52.139.250.253:443     ESTABLISHED     3868
  TCP    [::]:135               [::]:0                 LISTENING       1040
  TCP    [::]:445               [::]:0                 LISTENING       4
  TCP    [::]:2871              [::]:0                 LISTENING       4
  TCP    [::]:2881              [::]:0                 LISTENING       4
  TCP    [::]:2882              [::]:0                 LISTENING       4
  TCP    [::]:2883              [::]:0                 LISTENING       4
  TCP    [::]:2884              [::]:0                 LISTENING       4
  TCP    [::]:2885              [::]:0                 LISTENING       4
  TCP    [::]:7680              [::]:0                 LISTENING       68016
  TCP    [::]:49664             [::]:0                 LISTENING       868
  TCP    [::]:49665             [::]:0                 LISTENING       776
  TCP    [::]:49666             [::]:0                 LISTENING       1720
  TCP    [::]:49667             [::]:0                 LISTENING       1444
  TCP    [::]:49669             [::]:0                 LISTENING       3372
  TCP    [::]:49671             [::]:0                 LISTENING       848
  UDP    0.0.0.0:1900           *:*                                    62500
  UDP    0.0.0.0:5050           *:*                                    6612
  UDP    0.0.0.0:5353           *:*                                    13956
  UDP    0.0.0.0:5353           *:*                                    13956
  UDP    0.0.0.0:5353           *:*                                    13956
  UDP    0.0.0.0:5353           *:*                                    13956
  UDP    0.0.0.0:5353           *:*                                    1504
  UDP    0.0.0.0:5353           *:*                                    12704
  UDP    0.0.0.0:5353           *:*                                    12704
  UDP    0.0.0.0:5355           *:*                                    1504
  UDP    0.0.0.0:50001          *:*                                    3808
  UDP    0.0.0.0:51051          *:*                                    64548
  UDP    0.0.0.0:51052          *:*                                    64548
  UDP    0.0.0.0:51054          *:*                                    45492
  UDP    0.0.0.0:51126          *:*                                    4152
  UDP    0.0.0.0:52209          *:*                                    13956
  UDP    0.0.0.0:52357          *:*                                    13956
  UDP    0.0.0.0:52358          *:*                                    13956
  UDP    0.0.0.0:52359          *:*                                    45492
  UDP    0.0.0.0:52360          *:*                                    45492
  UDP    0.0.0.0:52361          *:*                                    45492
  UDP    0.0.0.0:52362          *:*                                    45492
  UDP    0.0.0.0:52363          *:*                                    45492
  UDP    0.0.0.0:52364          *:*                                    45492
  UDP    0.0.0.0:52365          *:*                                    45492
  UDP    0.0.0.0:52366          *:*                                    45492
  UDP    0.0.0.0:52367          *:*                                    45492
  UDP    0.0.0.0:52368          *:*                                    45492
  UDP    0.0.0.0:52369          *:*                                    45492
  UDP    0.0.0.0:53883          *:*                                    45492
  UDP    0.0.0.0:53884          *:*                                    45492
  UDP    0.0.0.0:53885          *:*                                    45492
  UDP    0.0.0.0:54665          *:*                                    51800
  UDP    0.0.0.0:54669          *:*                                    64548
  UDP    0.0.0.0:54912          *:*                                    13956
  UDP    0.0.0.0:55773          *:*                                    51800
  UDP    0.0.0.0:55774          *:*                                    51800
